SGB	Classification	Taxonomy	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
SGB8047	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Lactobacillales-f__Streptococcaceae-g__Streptococcus-s__Streptococcus_sanguinis-t__SGB8047	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_sanguinis	SGB8047
SGB8053	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Lactobacillales-f__Streptococcaceae-g__Streptococcus-s__Streptococcus_gordonii-t__SGB8053	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_gordonii	SGB8053
SGB8054	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Lactobacillales-f__Streptococcaceae-g__Streptococcus-s__Streptococcus_sp_oral_taxon_056-t__SGB8054	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_sp_oral_taxon_056	SGB8054
SGB8056	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Lactobacillales-f__Streptococcaceae-g__Streptococcus-s__Streptococcus_rubneri-t__SGB8056	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_rubneri	SGB8056
SGB8061	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Lactobacillales-f__Streptococcaceae-g__Streptococcus-s__Streptococcus_australis-t__SGB8061	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_australis	SGB8061
SGB8076	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Lactobacillales-f__Streptococcaceae-g__Streptococcus-s__Streptococcus_parasanguinis-t__SGB8076	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_parasanguinis	SGB8076
SGB8091	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Lactobacillales-f__Streptococcaceae-g__Streptococcus-s__Streptococcus_timonensis-t__SGB8091	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_timonensis	SGB8091
SGB8117	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Lactobacillales-f__Streptococcaceae-g__Streptococcus-s__Streptococcus_oralis-t__SGB8117	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_oralis	SGB8117
SGB8121	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Lactobacillales-f__Streptococcaceae-g__Streptococcus-s__Streptococcus_oralis-t__SGB8121	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_oralis	SGB8121
SGB8235	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Lactobacillales-f__Aerococcaceae-g__Abiotrophia-s__Abiotrophia_defectiva-t__SGB8235	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia_defectiva	SGB8235
SGB8236	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Lactobacillales-f__Aerococcaceae-g__Abiotrophia-s__Abiotrophia_sp_HMSC24B09-t__SGB8236	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia_sp_HMSC24B09	SGB8236
SGB8245	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Lactobacillales-f__Carnobacteriaceae-g__Granulicatella-s__Granulicatella_elegans-t__SGB8245	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella_elegans	SGB8245
SGB8249	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Lactobacillales-f__Carnobacteriaceae-g__Granulicatella-s__Granulicatella_adiacens-t__SGB8249	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella_adiacens	SGB8249
